participant,condition,run,trial_repeat,class_id,true_label,global_trial_index,max_abs,max_ptp,reject_max_abs,reject_max_ptp,reject_trial
1,normal,3,1,5,5,165,25.792205872748458,50.8453732446118,False,False,False
1,normal,3,1,6,6,166,21.541393444708493,38.951938374639234,False,False,False
1,normal,3,1,7,7,167,38.025425125824405,52.3643466687742,False,False,False
1,normal,3,1,8,8,168,25.451339927077292,43.30898220330828,False,False,False
1,normal,3,1,9,9,169,27.27956134479452,43.5852011743394,False,False,False
1,normal,3,1,10,10,170,28.843206075618472,45.61474034044557,False,False,False
1,normal,3,1,11,11,171,25.14309557957153,37.86323172939433,False,False,False
1,normal,3,1,12,12,172,30.07634856544025,47.194857839616475,False,False,False
1,normal,3,1,13,13,173,28.111476105882794,49.35185693675454,False,False,False
1,normal,3,1,14,14,174,29.187025510668533,54.84171590116428,False,False,False
1,normal,3,1,15,15,175,30.71284538445329,57.65786678526122,False,False,False
1,normal,3,1,16,16,176,39.67531247741883,64.04048127289673,False,False,False
1,normal,3,1,17,17,177,29.103319898580352,51.32460282021053,False,False,False
1,normal,3,1,18,18,178,27.534301461047523,47.19077595316966,False,False,False
1,normal,3,1,19,19,179,27.62130202716211,44.73941650561348,False,False,False
1,normal,3,1,20,20,180,32.85429879677699,57.22931333984377,False,False,False
1,normal,3,1,21,21,181,28.192987336430974,48.906356000648515,False,False,False
1,normal,3,1,22,22,182,23.85497067985498,39.032847652381015,False,False,False
1,normal,3,1,23,23,183,28.795811445372028,50.12751500725522,False,False,False
1,normal,3,1,24,24,184,24.546869122244267,38.55797564958626,False,False,False
1,normal,3,1,25,25,185,33.62248985982284,51.352714451717915,False,False,False
1,normal,3,1,26,26,186,32.47540075208027,56.059992670396795,False,False,False
1,normal,3,1,27,27,187,25.04315165377843,37.39316129049499,False,False,False
1,normal,3,1,28,28,188,41.30394593193103,81.52994478152715,False,False,False
1,normal,3,1,29,29,189,37.711521350424796,58.47735314967313,False,False,False
1,normal,3,1,30,30,190,31.738631488322007,57.2969720858996,False,False,False
1,normal,3,1,31,31,191,30.109028752619693,42.44611309321425,False,False,False
1,normal,4,0,0,0,192,30.02842227578376,52.29874420505149,False,False,False
1,normal,4,0,1,1,193,27.101115984259042,46.7226018279177,False,False,False
1,normal,4,0,2,2,194,59.875934915633685,88.53067893591857,False,False,False
1,normal,4,0,3,3,195,27.326655055534065,42.69302513026008,False,False,False
1,normal,4,0,4,4,196,36.24483055951134,58.64285284626155,False,False,False
1,normal,4,0,5,5,197,21.744134263836404,40.00352235683153,False,False,False
1,normal,4,0,6,6,198,27.371127163304735,43.18643358211987,False,False,False
1,normal,4,0,7,7,199,32.239346111595545,43.09027245475912,False,False,False
1,normal,4,0,8,8,200,22.035725305658108,35.90945933517056,False,False,False
1,normal,4,0,9,9,201,30.875590721731143,48.548459786316144,False,False,False
1,normal,4,0,10,10,202,27.981066138549853,46.7951911654858,False,False,False
1,normal,4,0,11,11,203,24.056764735425002,39.08560575387139,False,False,False
1,normal,4,0,12,12,204,30.103415506828203,44.173956236147646,False,False,False
1,normal,4,0,13,13,205,26.776275349207296,52.5682366065303,False,False,False
1,normal,4,0,14,14,206,28.33461821318628,47.93215679974759,False,False,False
1,normal,4,0,15,15,207,21.79629142697553,39.580314293949854,False,False,False
1,normal,4,0,16,16,208,26.71325184920642,50.012793631626735,False,False,False
1,normal,4,0,17,17,209,25.724313920587875,40.729338386608546,False,False,False
1,normal,4,0,18,18,210,32.44023706280277,49.69739343939541,False,False,False
1,normal,4,0,19,19,211,31.429088819538833,47.72606722827484,False,False,False
1,normal,4,0,20,20,212,24.284624257586213,43.8023296633892,False,False,False
1,normal,4,0,21,21,213,32.80107398391305,48.54885206467125,False,False,False
1,normal,4,0,22,22,214,26.59288529645085,47.98999569767551,False,False,False
1,normal,4,0,23,23,215,34.14117811865025,56.018912732108674,False,False,False
1,normal,4,0,24,24,216,33.55398040291662,54.50494248554757,False,False,False
1,normal,4,0,25,25,217,22.503988359618457,39.78052955094028,False,False,False
1,normal,4,0,26,26,218,25.358288563806884,47.16088346100197,False,False,False
1,normal,4,0,27,27,219,30.892102123977246,53.8608300559237,False,False,False
1,normal,4,0,28,28,220,30.30955227611518,44.2671181253707,False,False,False
1,normal,4,0,29,29,221,27.003149374335607,42.573575036175555,False,False,False
1,normal,4,0,30,30,222,22.708171712019027,40.968549257552986,False,False,False
1,normal,4,0,31,31,223,36.063655136775076,62.68035960657085,False,False,False
1,normal,4,1,0,0,224,25.682351258453785,41.9221219842056,False,False,False
1,normal,4,1,1,1,225,28.589502899547426,52.244321727903724,False,False,False
1,normal,4,1,2,2,226,33.908017682297896,59.4338825745556,False,False,False
1,normal,4,1,3,3,227,21.859633015852918,40.99936357117037,False,False,False
1,normal,4,1,4,4,228,30.84271789132768,43.867036619918395,False,False,False
