participant,condition,run,trial_repeat,class_id,true_label,predicted_label,correct,rho_target,rho_max,rho_margin,best_incorrect_score,band1_target_score,band2_target_score,band3_target_score
1,red_green,2,0,29,29,3,0,0.8885759357142609,0.9289357692921898,-0.04035983357792894,0.9289357692921898,0.5292361580345253,0.6761302942385422,0.6789025309733911
1,red_green,2,0,30,30,29,0,1.1087006948927205,1.1087009528824225,-2.5798970204604643e-07,1.1087009528824225,0.6770907234343655,0.7329092966067594,0.5905206186651705
1,red_green,2,0,31,31,28,0,1.2986637840858695,1.298663865651953,-8.156608344300764e-08,1.298663865651953,0.6981679045795874,0.8334895614103006,0.666551571890603
1,red_green,2,1,0,0,1,0,0.8101083448059581,0.8101083944969416,-4.969098355012136e-08,0.8101083944969416,0.5628713448015139,0.5933902323262663,0.5947196302950837
1,red_green,2,1,1,1,2,0,1.0771327418677463,1.077132763790892,-2.1923145743230066e-08,1.077132763790892,0.7052559052958403,0.6865101426399854,0.5263315631309284
1,red_green,2,1,2,2,3,0,1.1884529444917835,1.188453225479806,-2.8098802240528187e-07,1.188453225479806,0.7296426040367916,0.6538182520719219,0.6853292717849256
1,red_green,2,1,3,3,1,0,0.8361903386796483,0.8361903386796489,-5.551115123125783e-16,0.8361903386796489,0.6204337077596747,0.528379211666128,0.5774871005365486
1,red_green,2,1,4,4,7,0,1.1047157598287016,1.1047162916298483,-5.318011466748374e-07,1.1047162916298483,0.6964383124300986,0.7428111814973534,0.5052990815640362
1,red_green,2,1,5,5,4,0,0.9325151558864778,0.9325152177825204,-6.189604262463178e-08,0.9325152177825204,0.677831803619715,0.5442235630296876,0.563174034421465
1,red_green,2,1,6,6,0,0,0.8644776299741084,0.9489131016741503,-0.08443547170004195,0.9489131016741503,0.6033795880661514,0.6463385584850435,0.5068914553096459
1,red_green,2,1,7,7,5,0,0.8463738439457656,0.8463738439457658,-1.1102230246251565e-16,0.8463738439457658,0.6862119066091631,0.46549947892761645,0.47276489534049587
1,red_green,2,1,8,8,11,0,0.8055981079565029,0.8055985986999796,-4.907434767442709e-07,0.8055985986999796,0.5416204417160825,0.6142160432718974,0.6078840854613368
1,red_green,2,1,9,9,9,1,1.5130592400925011,1.5130592400925011,6.661338147750939e-16,1.5130592400925005,0.8618843854702231,0.6988300059467103,0.7147115377715111
1,red_green,2,1,10,10,8,0,0.9155310298426645,0.9155310298426651,-5.551115123125783e-16,0.9155310298426651,0.6464757717273403,0.543501153821729,0.622576189528919
1,red_green,2,1,11,11,11,1,1.045224288806563,1.045224288806563,6.661338147750939e-16,1.0452242888065624,0.640109322838407,0.6765817811896225,0.6703280525912209
1,red_green,2,1,12,12,12,1,0.8623013338001704,0.8623013338001704,6.661338147750939e-16,0.8623013338001697,0.5429413116252005,0.597415518806765,0.7111611569414785
1,red_green,2,1,13,13,13,1,0.9342603940564667,0.9342603940564667,2.220446049250313e-16,0.9342603940564664,0.6294113060306953,0.5670030299368619,0.6664263472220479
1,red_green,2,1,14,14,3,0,0.613395446226161,0.8576181218981396,-0.24422267567197853,0.8576181218981396,0.48020532815544514,0.475084066443351,0.5876958454189459
1,red_green,2,1,15,15,0,0,0.8959174231777152,0.9802584584139151,-0.08434103523619996,0.9802584584139151,0.6558216617944508,0.5039754372200238,0.6111909105954706
1,red_green,2,1,16,16,0,0,0.5686183361288769,1.017378972922855,-0.44876063679397815,1.017378972922855,0.4919889189214452,0.4285940203944486,0.5328499883115044
1,red_green,2,1,17,17,17,1,1.3545684708713888,1.3545684708713888,0.0,1.3545684708713888,0.7979578750411834,0.6812733088525664,0.7012246900846528
1,red_green,2,1,18,18,17,0,1.0015873372018609,1.0015873878761745,-5.0674313634146984e-08,1.0015873878761745,0.6682775331032049,0.6044128087069415,0.6278956854095046
1,red_green,2,1,19,19,8,0,0.38245577616022336,0.7410382461486864,-0.35858246998846305,0.7410382461486864,0.35057244639483987,0.38815067480331333,0.5039572375621726
1,red_green,2,1,20,20,3,0,0.5744645155989146,0.9297544428132424,-0.3552899272143277,0.9297544428132424,0.5054002346395334,0.5088814302655337,0.40255928607211044
1,red_green,2,1,21,21,1,0,0.34693960730196716,1.028172649248865,-0.6812330419468978,1.028172649248865,0.36028457410918613,0.4116094449107331,0.37584930476405154
1,red_green,2,1,22,22,3,0,0.7486190941101938,0.8299276701202907,-0.08130857601009689,0.8299276701202907,0.4811209186296458,0.5991025028505776,0.6591029280468532
1,red_green,2,1,23,23,0,0,0.7964761373433267,0.9747138795284702,-0.17823774218514354,0.9747138795284702,0.49898993103948247,0.6367317720471001,0.6511975235327535
1,red_green,2,1,24,24,3,0,0.8242746151574717,0.9200438533841517,-0.09576923822668004,0.9200438533841517,0.5070038963267518,0.6618729487318475,0.6448071698868015
1,red_green,2,1,25,25,3,0,0.5878370811474296,0.9498441564253903,-0.3620070752779607,0.9498441564253903,0.4773224345185612,0.6056538300490331,0.33686096768720014
